,0
B_33_last_minus_mean,0.003513378963737111
B_17_min,0.003508208600564293
S_24_last_minus_first,0.0034985419861565384
B_13_last_minus_mean,0.003495459638470898
D_84_last_minus_mean,0.0034834308417136185
D_79_max,0.0034824493867163064
R_2_mean,0.0034811175080470347
R_14_last_minus_mean,0.003477907120182757
D_54_last_minus_mean,0.0034727062452629904
R_2_last_minus_first,0.0034646238793654112
D_133_std,0.003454391429796026
D_58_max,0.0034437182799002606
B_18_last_minus_mean,0.003443072288115835
R_22_mean,0.003437952652122737
S_12_last,0.0034171001499637924
D_129_std,0.0033983600525873373
S_26_last_minus_mean,0.0033817654027774994
D_92_last_minus_mean,0.0033717970368552846
D_52_std,0.0033621606264898594
D_107_std,0.003356940436090411
D_115_last_minus_mean,0.0033405212509081124
D_82_last,0.0033353661155410526
D_117_std,0.0033076340735358066
S_24_min,0.0032909467895415874
D_61_last_minus_mean,0.0032877462880063447
D_42_std,0.003286779357323902
D_128_last_minus_mean,0.0032804267436211754
S_13_last,0.00327378953618616
S_5_last_minus_first,0.003260552790879698
B_26_last_minus_mean,0.0032455516340900905
S_13_first,0.00324242096237462
D_78_mean,0.00323886281837147
B_25_last,0.003226829562873551
S_27_last_minus_mean,0.0032125983755129325
B_33_std,0.003212229669896662
D_96_last_minus_mean,0.003210145621995636
D_91_first,0.0031940210615258747
B_28_last,0.0031918444662911434
D_113_std,0.0031637333023195827
S_15_min,0.0031401959919455857
S_9_last_minus_first,0.003124532537756631
D_60_min,0.0031152265070076867
B_16_first,0.003114473027279544
B_19_last_minus_mean,0.003107329026872159
S_25_first,0.003083929387392062
B_21_last_minus_mean,0.0030803982979654867
B_14_std,0.0030796742800715143
S_19_last_minus_mean,0.0030696869984913034
S_11_last_minus_first,0.003052113869493948
D_122_std,0.0030469760869415337
B_6_max,0.0030463301767208618
D_126_mean,0.003044480363860631
B_10_max,0.0030418520136116303
D_145_first,0.003036129842208721
B_24_last_minus_first,0.0030265437037538864
S_27_min,0.0030247892948685627
D_47_last_minus_mean,0.003023231272712088
D_74_last_minus_first,0.003022157318075542
D_93_last_minus_mean,0.0030209947474211466
R_20_last_minus_mean,0.0030178113724326594
S_16_max,0.0030098825815772488
D_72_last_minus_mean,0.003007664226400706
D_115_min,0.0030015862662167276
R_24_last_minus_mean,0.0029732078687509864
R_12_last_minus_mean,0.0029729540749437325
B_22_last_minus_mean,0.0029575684059731126
B_6_last,0.0029568627856719344
B_19_last_minus_first,0.0029549851661339753
B_8_first,0.002950145807605171
S_12_first,0.0029389712964744573
B_3_min,0.0029243456236745418
B_16_std,0.0029220739844294428
D_70_max,0.002917752851687621
R_6_mean,0.0029116800686957993
B_16_last_minus_first,0.0029062111688279127
D_46_last_minus_first,0.0029018850858780103
B_13_std,0.0028986578814649937
