,0
B_10_min,0.0051946715
P_3_last_minus_mean,0.0051904498
D_115_std,0.005173084
S_12_last_minus_first,0.00516539
S_25_max,0.0051279753
D_61_last,0.005122749
D_43_last_minus_mean,0.005100281
D_112_last_minus_first,0.005087683
D_115_first,0.005075232
D_54_mean,0.005063066
D_62_std,0.0050594197
B_37_min,0.005046231
B_23_last_minus_mean,0.004996796
D_91_mean,0.004985343
D_50_min,0.004935041
B_36_std,0.0049247183
S_11_last,0.004894137
S_23_last_minus_mean,0.004873722
B_17_mean,0.0048681
D_52_last,0.004858656
P_4_last_minus_mean,0.00484069
S_13_last_minus_first,0.0048245187
S_8_std,0.0048047896
D_133_last_minus_first,0.004802791
B_33_last_minus_mean,0.004792494
S_8_last_minus_first,0.004759703
P_3_min,0.0047261524
D_126_first,0.004706953
S_15_min,0.0047056624
D_77_min,0.004688611
R_17_last_minus_mean,0.0046844697
B_2_last_minus_mean,0.004651843
D_55_first,0.0046517416
D_43_max,0.0046074446
B_6_last_minus_mean,0.004583666
B_13_first,0.004554229
R_23_mean,0.0045472383
D_121_std,0.0045402716
B_19_last_minus_first,0.0045233406
D_77_std,0.0045229234
B_5_first,0.0044913855
B_38_last_minus_mean,0.0044830795
D_55_last_minus_first,0.00447263
D_126_std,0.004469817
R_22_mean,0.004465935
D_78_last_minus_mean,0.00446508
B_22_std,0.0044647185
D_60_last_minus_first,0.004460819
D_123_mean,0.004458125
D_81_std,0.0044576116
B_2_std,0.0044533643
R_1_last_minus_mean,0.004447024
D_140_last_minus_mean,0.004442093
D_71_first,0.00443297
B_28_min,0.0044089523
D_77_last_minus_mean,0.0043857335
R_21_last_minus_mean,0.0043823696
B_16_last_minus_mean,0.0043808576
S_11_last_minus_mean,0.0043191505
B_28_first,0.004313435
D_140_mean,0.004300554
S_11_std,0.004289359
R_8_last_minus_mean,0.004253203
D_59_last_minus_first,0.004242105
P_4_first,0.004231957
D_133_last_minus_mean,0.004224514
R_8_mean,0.0042081457
R_1_last_minus_first,0.004196649
D_61_min,0.004190328
S_25_first,0.0041806223
D_102_max,0.0041612484
D_105_std,0.004158395
D_145_first,0.004115253
D_61_std,0.0040853648
D_117_min,0.0040624905
D_83_last_minus_mean,0.0040543005
D_127_mean,0.0040468723
D_42_last_minus_mean,0.0040415246
R_3_first,0.0040301126
S_27_std,0.00399882
S_13_mean,0.0039975247
R_5_last_minus_mean,0.003987086
D_63_last,0.0039864215
S_7_first,0.0039844206
D_129_last_minus_first,0.0039747506
D_122_max,0.003970438
B_9_last_minus_first,0.0039565596
S_11_min,0.003950736
D_72_last_minus_mean,0.0039445204
B_17_last_minus_mean,0.003933475
D_142_first,0.0039214916
R_3_min,0.0038731678
D_86_last,0.003858801
D_129_last_minus_mean,0.0038575768
B_13_std,0.0038559728
R_22_last_minus_mean,0.0038275844
D_82_last,0.003817545
S_3_last_minus_mean,0.0037959537
S_9_max,0.0037740723
D_92_mean,0.0037718967
B_12_last_minus_mean,0.0037707943
B_9_first,0.0037596442
D_119_last_minus_mean,0.0037363183
D_53_mean,0.003731152
D_133_last,0.0037177594
R_4_last_minus_mean,0.0037089172
B_20_mean,0.0037019365
B_23_min,0.0036824336
D_59_first,0.003677219
D_121_last_minus_mean,0.0036677693
D_42_std,0.0036441402
